seq,ts_code,symbol,name,area,industry,market,list_date
2770,600011.SH,600011,华能国际,北京,火力发电,主板,20011206
2771,600012.SH,600012,皖通高速,安徽,路桥,主板,20030107
2772,600015.SH,600015,华夏银行,北京,银行,主板,20030912
2773,600016.SH,600016,民生银行,北京,银行,主板,20001219
2774,600017.SH,600017,日照港,山东,港口,主板,20061017
2775,600018.SH,600018,上港集团,上海,港口,主板,20061026
2776,600019.SH,600019,宝钢股份,上海,普钢,主板,20001212
2777,600020.SH,600020,中原高速,河南,路桥,主板,20030808
2778,600021.SH,600021,上海电力,上海,火力发电,主板,20031029
2779,600022.SH,600022,山东钢铁,山东,普钢,主板,20040629
2780,600023.SH,600023,浙能电力,浙江,火力发电,主板,20131219
2781,600025.SH,600025,华能水电,云南,水力发电,主板,20171215
2782,600026.SH,600026,中远海能,上海,水运,主板,20020523
2783,600027.SH,600027,华电国际,山东,火力发电,主板,20050203
2784,600028.SH,600028,中国石化,北京,石油加工,主板,20010808
2785,600029.SH,600029,南方航空,广东,空运,主板,20030725
2786,600030.SH,600030,中信证券,深圳,证券,主板,20030106
2787,600031.SH,600031,三一重工,北京,工程机械,主板,20030703
2788,600032.SH,600032,浙江新能,浙江,新型电力,主板,20210525
2789,600033.SH,600033,福建高速,福建,路桥,主板,20010209
2790,600035.SH,600035,楚天高速,湖北,路桥,主板,20040310
2791,600036.SH,600036,招商银行,深圳,银行,主板,20020409
2792,600037.SH,600037,歌华有线,北京,影视音像,主板,20010208
2793,600038.SH,600038,中直股份,黑龙江,航空,主板,20001218
2794,600039.SH,600039,四川路桥,四川,建筑工程,主板,20030325
2795,600048.SH,600048,保利发展,广东,全国地产,主板,20060731
2796,600050.SH,600050,中国联通,北京,电信运营,主板,20021009
2797,600051.SH,600051,宁波联合,浙江,综合类,主板,19970410
2798,600052.SH,600052,东望时代,浙江,影视音像,主板,19970415
2799,600053.SH,600053,九鼎投资,江西,多元金融,主板,19970418
2800,600054.SH,600054,黄山旅游,安徽,旅游景点,主板,19970506
2801,600055.SH,600055,万东医疗,北京,医疗保健,主板,19970519
2802,600056.SH,600056,中国医药,北京,医药商业,主板,19970515
2803,600057.SH,600057,厦门象屿,福建,仓储物流,主板,19970604
2804,600058.SH,600058,五矿发展,北京,商贸代理,主板,19970528
2805,600059.SH,600059,古越龙山,浙江,红黄酒,主板,19970516
2806,600060.SH,600060,海信视像,山东,家用电器,主板,19970422
2807,600061.SH,600061,国投资本,上海,证券,主板,19970519
2808,600062.SH,600062,华润双鹤,北京,化学制药,主板,19970522
2809,600063.SH,600063,皖维高新,安徽,化纤,主板,19970528
2810,600064.SH,600064,南京高科,江苏,园区开发,主板,19970506
2811,600066.SH,600066,宇通客车,河南,汽车整车,主板,19970508
2812,600067.SH,600067,冠城大通,福建,电气设备,主板,19970508
2813,600070.SH,600070,浙江富润,浙江,互联网,主板,19970604
2814,600071.SH,600071,凤凰光学,江西,元器件,主板,19970528
2815,600072.SH,600072,中船科技,上海,船舶,主板,19970603
2816,600073.SH,600073,上海梅林,上海,食品,主板,19970704
2817,600075.SH,600075,新疆天业,新疆,化工原料,主板,19970617
2818,600076.SH,600076,康欣新材,山东,其他建材,主板,19970526
2819,600077.SH,600077,宋都股份,浙江,全国地产,主板,19970520
2820,600078.SH,600078,ST澄星,江苏,化工原料,主板,19970627
2821,600079.SH,600079,人福医药,湖北,化学制药,主板,19970606
2822,600080.SH,600080,金花股份,陕西,中成药,主板,19970612
2823,600081.SH,600081,东风科技,上海,汽车配件,主板,19970703
2824,600082.SH,600082,海泰发展,天津,园区开发,主板,19970620
2825,600083.SH,600083,博信股份,江苏,综合类,主板,19970606
2826,600084.SH,600084,中葡股份,新疆,红黄酒,主板,19970711
2827,600085.SH,600085,同仁堂,北京,中成药,主板,19970625
2828,600088.SH,600088,中视传媒,上海,影视音像,主板,19970616
2829,600089.SH,600089,特变电工,新疆,电气设备,主板,19970618
2830,600094.SH,600094,大名城,上海,区域地产,主板,19970703
2831,600095.SH,600095,湘财股份,黑龙江,证券,主板,19970708
2832,600096.SH,600096,云天化,云南,农药化肥,主板,19970709
2833,600097.SH,600097,开创国际,上海,渔业,主板,19970619
2834,600098.SH,600098,广州发展,广东,火力发电,主板,19970718
2835,600099.SH,600099,林海股份,江苏,汽车整车,主板,19970704
2836,600100.SH,600100,同方股份,北京,IT设备,主板,19970627
2837,600101.SH,600101,明星电力,四川,水力发电,主板,19970627
2838,600103.SH,600103,青山纸业,福建,造纸,主板,19970703
2839,600104.SH,600104,上汽集团,上海,汽车整车,主板,19971125
2840,600105.SH,600105,永鼎股份,江苏,通信设备,主板,19970929
2841,600106.SH,600106,重庆路桥,重庆,路桥,主板,19970618
2842,600107.SH,600107,美尔雅,湖北,服饰,主板,19971106
2843,600108.SH,600108,亚盛集团,甘肃,种植业,主板,19970818
2844,600109.SH,600109,国金证券,四川,证券,主板,19970807
2845,600110.SH,600110,诺德股份,吉林,铜,主板,19971007
2846,600111.SH,600111,北方稀土,内蒙,小金属,主板,19970924
2847,600112.SH,600112,ST天成,贵州,电气设备,主板,19971127
2848,600113.SH,600113,浙江东日,浙江,区域地产,主板,19971021
2849,600114.SH,600114,东睦股份,浙江,机械基件,主板,20040511
2850,600115.SH,600115,中国东航,上海,空运,主板,19971105
2851,600116.SH,600116,三峡水利,重庆,水力发电,主板,19970804
2852,600117.SH,600117,西宁特钢,青海,特种钢,主板,19971015
2853,600118.SH,600118,中国卫星,北京,航空,主板,19970908
2854,600119.SH,600119,长江投资,上海,仓储物流,主板,19980115
2855,600120.SH,600120,浙江东方,浙江,多元金融,主板,19971201
2856,600121.SH,600121,郑州煤电,河南,煤炭开采,主板,19980107
2857,600122.SH,600122,ST宏图,江苏,其他商业,主板,19980420
2858,600123.SH,600123,兰花科创,山西,煤炭开采,主板,19981217
2859,600125.SH,600125,铁龙物流,辽宁,铁路,主板,19980511
2860,600126.SH,600126,杭钢股份,浙江,普钢,主板,19980311
2861,600127.SH,600127,金健米业,湖南,农业综合,主板,19980506
2862,600128.SH,600128,弘业股份,江苏,商贸代理,主板,19970901
2863,600129.SH,600129,太极集团,重庆,中成药,主板,19971118
2864,600130.SH,600130,波导股份,浙江,通信设备,主板,20000706
2865,600131.SH,600131,国网信通,四川,通信设备,主板,19980402
2866,600132.SH,600132,重庆啤酒,重庆,啤酒,主板,19971030
2867,600133.SH,600133,东湖高新,湖北,建筑工程,主板,19980212
2868,600135.SH,600135,乐凯胶片,河北,化工原料,主板,19980122
2869,600136.SH,600136,ST明诚,湖北,影视音像,主板,19980303
2870,600137.SH,600137,浪莎股份,四川,服饰,主板,19980416
2871,600138.SH,600138,中青旅,北京,旅游服务,主板,19971203
2872,600139.SH,600139,*ST西源,四川,综合类,主板,19980225
2873,600141.SH,600141,兴发集团,湖北,农药化肥,主板,19990616
2874,600143.SH,600143,金发科技,广东,塑料,主板,20040623
2875,600148.SH,600148,长春一东,吉林,汽车配件,主板,19980520
2876,600149.SH,600149,廊坊发展,河北,综合类,主板,19991014
2877,600150.SH,600150,中国船舶,上海,船舶,主板,19980520
2878,600151.SH,600151,航天机电,上海,汽车配件,主板,19980605
2879,600152.SH,600152,维科技术,浙江,电气设备,主板,19980609
2880,600153.SH,600153,建发股份,福建,仓储物流,主板,19980616
2881,600155.SH,600155,华创阳安,北京,证券,主板,19980918
